# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530363.101365804672241,0.00853,0.00031,0.00197,0.00287,0.00102,0.00059,0.01529
1520530363.151640892028809,0.01367,0.00014,0.00033,0.00526,0.00000,0.00049,0.01990
1520530363.201641798019409,0.00511,0.00013,0.00034,0.00262,0.00000,0.00106,0.00926
1520530363.401649951934814,0.01322,0.00030,0.00610,0.00167,0.00014,0.00054,0.02198
1520530363.451650619506836,0.00584,0.00013,0.00021,0.00164,0.00012,0.00047,0.00841
1520530363.601738214492798,0.00989,0.00023,0.00129,0.00089,0.00000,0.00049,0.01279
1520530363.651739835739136,0.00403,0.00013,0.00052,0.00112,0.00000,0.00065,0.00645
1520530363.701740980148315,0.00398,0.00011,0.00015,0.00082,0.00000,0.00055,0.00561
1520530363.751743078231812,0.00594,0.00012,0.00095,0.00080,0.00000,0.00050,0.00831
1520530363.801745176315308,0.00411,0.00011,0.00085,0.00084,0.00000,0.00050,0.00642
1520530363.851745128631592,0.00478,0.00011,0.00119,0.00090,0.00106,0.00064,0.00869
1520530363.901746273040771,0.00445,0.00012,0.00251,0.00063,0.00000,0.00052,0.00822
1520530363.951769351959229,0.00502,0.00015,0.00077,0.00105,0.00000,0.00053,0.00753
1520530364.001770734786987,0.00535,0.00011,0.00080,0.00054,0.00000,0.00232,0.00913
1520530364.051772117614746,0.00747,0.00011,0.00078,0.00071,0.00000,0.00063,0.00969
1520530364.101773262023926,0.00530,0.00013,0.00153,0.00058,0.00260,0.00054,0.01069
1520530364.151773929595947,0.00411,0.00011,0.00092,0.00070,0.00000,0.00058,0.00642
1520530364.201775312423706,0.00398,0.00015,0.00091,0.00061,0.00616,0.00048,0.01230
1520530364.251776218414307,0.00393,0.00033,0.00093,0.00166,0.00000,0.00053,0.00738
1520530364.301778078079224,0.00447,0.00012,0.00236,0.00261,0.00000,0.00062,0.01018
1520530364.351779222488403,0.00472,0.00018,0.00107,0.00108,0.00000,0.00046,0.00750
1520530364.401840448379517,0.00408,0.00011,0.00084,0.00105,0.00081,0.00065,0.00755
1520530364.451841831207275,0.00386,0.00011,0.00028,0.00110,0.00411,0.00046,0.00993
1520530364.501844167709351,0.00380,0.00013,0.00222,0.00169,0.00045,0.00063,0.00892
1520530364.551846504211426,0.00356,0.00013,0.00035,0.00170,0.00110,0.00051,0.00735
1520530364.601848602294922,0.00421,0.00012,0.00038,0.00165,0.00302,0.00067,0.01006
1520530364.651851654052734,0.00463,0.00013,0.00096,0.00131,0.00251,0.00051,0.01005
1520530364.701853036880493,0.00567,0.00013,0.00199,0.00123,0.00239,0.00064,0.01205
1520530364.751855373382568,0.00406,0.00014,0.00111,0.00161,0.00366,0.00074,0.01132
1520530364.802367925643921,0.00505,0.00012,0.00092,0.00192,0.00090,0.00053,0.00945
1520530364.852371215820312,0.00469,0.00015,0.00079,0.00255,0.00095,0.00052,0.00965
1520530364.902373075485229,0.00471,0.00012,0.00039,0.00170,0.00263,0.00060,0.01016
1520530364.952375411987305,0.00373,0.00011,0.00107,0.00204,0.00094,0.00050,0.00840
1520530365.002378702163696,0.00366,0.00017,0.00053,0.00243,0.00641,0.00056,0.01377
1520530365.052379608154297,0.00351,0.00013,0.00023,0.00326,0.00000,0.00065,0.00780
1520530365.102381706237793,0.00334,0.00018,0.00004,0.00313,0.00101,0.00052,0.00822
1520530365.152382612228394,0.00315,0.00013,0.00038,0.00316,0.00148,0.00055,0.00885
1520530365.201840400695801,0.00295,0.00016,0.00042,0.00324,0.00525,0.00058,0.01260
1520530365.251843214035034,0.00380,0.00018,0.00024,0.00425,0.01107,0.00055,0.02009
1520530365.301844835281372,0.00307,0.00015,0.00041,0.00586,0.00000,0.00052,0.01002
1520530365.351847171783447,0.00405,0.00033,0.00379,0.00660,0.00000,0.00110,0.01586
1520530365.401848316192627,0.00477,0.00021,0.00180,0.00686,0.00148,0.00069,0.01580
1520530365.451849222183228,0.00724,0.00028,0.00418,0.00581,0.00364,0.00045,0.02159
1520530365.501850366592407,0.00439,0.00017,0.00439,0.00564,0.00001,0.00046,0.01506
1520530365.651532888412476,0.01031,0.00027,0.00373,0.00375,0.00001,0.00057,0.01864
1520530365.801540851593018,0.00874,0.00028,0.00104,0.00337,0.00103,0.00049,0.01496
1520530366.051898956298828,0.01177,0.00037,0.00325,0.00062,0.00217,0.00048,0.01866
1520530366.101902246475220,0.00490,0.00014,0.00065,0.00053,0.00113,0.00049,0.00784
1520530366.201905250549316,0.00571,0.00020,0.00034,0.00204,0.00000,0.00057,0.00886
1520530366.251906871795654,0.00377,0.00015,0.00047,0.00187,0.00000,0.00053,0.00679
1520530366.301906824111938,0.00349,0.00013,0.00025,0.00179,0.00000,0.00068,0.00635
1520530366.351908206939697,0.00417,0.00012,0.00018,0.00183,0.00000,0.00048,0.00678
1520530366.402108430862427,0.00375,0.00012,0.00034,0.00134,0.00000,0.00049,0.00605
1520530366.452109575271606,0.00386,0.00011,0.00109,0.00141,0.00091,0.00057,0.00794
1520530366.502111434936523,0.00573,0.00013,0.00090,0.00144,0.00000,0.00050,0.00870
1520530366.552111625671387,0.00441,0.00036,0.00178,0.00139,0.00292,0.00055,0.01141
1520530366.602113485336304,0.00406,0.00013,0.00073,0.00125,0.00000,0.00047,0.00664
1520530366.652113914489746,0.00342,0.00012,0.00055,0.00181,0.00087,0.00067,0.00745
1520530366.702116012573242,0.00461,0.00012,0.00062,0.00115,0.00282,0.00056,0.00988
1520530366.752116680145264,0.00426,0.00013,0.00249,0.00128,0.00378,0.00055,0.01249
1520530366.802117824554443,0.00379,0.00013,0.00088,0.00200,0.00000,0.00057,0.00737
1520530366.852150917053223,0.00386,0.00012,0.00202,0.00166,0.00200,0.00061,0.01026
1520530366.902151823043823,0.00324,0.00012,0.00058,0.00176,0.00001,0.00049,0.00619
1520530366.952153921127319,0.00350,0.00013,0.00249,0.00134,0.00000,0.00050,0.00797
1520530367.002155303955078,0.00380,0.00011,0.00036,0.00137,0.00558,0.00058,0.01181
1520530367.052156686782837,0.00390,0.00013,0.00096,0.00161,0.00104,0.00070,0.00834
1520530367.102162837982178,0.00371,0.00012,0.00107,0.00132,0.00093,0.00053,0.00768
1520530367.152160406112671,0.00576,0.00012,0.00032,0.00158,0.00442,0.00067,0.01286
1520530367.202162265777588,0.00348,0.00014,0.00158,0.00199,0.00184,0.00051,0.00954
1520530367.252526044845581,0.00393,0.00013,0.00148,0.00234,0.00000,0.00062,0.00851
1520530367.302528142929077,0.00349,0.00013,0.00048,0.00246,0.00260,0.00065,0.00982
1520530367.352533102035522,0.00538,0.00013,0.00060,0.00239,0.00277,0.00055,0.01182
1520530367.402537345886230,0.00409,0.00013,0.00184,0.00235,0.00098,0.00056,0.00995
1520530367.452540874481201,0.00390,0.00013,0.00170,0.00279,0.00100,0.00084,0.01037
1520530367.502543687820435,0.00319,0.00015,0.00120,0.00278,0.00375,0.00048,0.01155
1520530367.552545785903931,0.00287,0.00012,0.00042,0.00326,0.00063,0.00055,0.00785
1520530367.602548837661743,0.00397,0.00013,0.00059,0.00310,0.00357,0.00055,0.01190
1520530367.652262926101685,0.00320,0.00014,0.00053,0.00355,0.00298,0.00056,0.01096
1520530367.702265024185181,0.00379,0.00016,0.00079,0.00387,0.00273,0.00055,0.01189
1520530367.752265930175781,0.00313,0.00016,0.00089,0.00395,0.00000,0.00048,0.00862
1520530367.802267551422119,0.00435,0.00016,0.00027,0.00398,0.01021,0.00063,0.01960
1520530367.852270126342773,0.00380,0.00015,0.00031,0.00535,0.00291,0.00181,0.01433
1520530367.952273845672607,0.00501,0.00020,0.00303,0.00413,0.00001,0.00057,0.01296
1520530368.002274990081787,0.00487,0.00023,0.00176,0.00473,0.00021,0.00070,0.01248
1520530368.102123737335205,0.00500,0.00026,0.00052,0.00380,0.00000,0.00047,0.01005
1520530368.352128505706787,0.00954,0.00041,0.00329,0.00183,0.00065,0.00049,0.01620
1520530368.402127742767334,0.00452,0.00015,0.00092,0.00179,0.00032,0.00048,0.00817
1520530368.452039003372192,0.00367,0.00012,0.00044,0.00188,0.00000,0.00049,0.00660
1520530368.502039432525635,0.00359,0.00013,0.00055,0.00178,0.00000,0.00057,0.00661
1520530368.552039623260498,0.00470,0.00013,0.00210,0.00145,0.00001,0.00065,0.00904
1520530368.602039813995361,0.00471,0.00012,0.00132,0.00103,0.00244,0.00062,0.01024
1520530368.652040719985962,0.00475,0.00012,0.00036,0.00114,0.00001,0.00048,0.00685
1520530368.702042579650879,0.00576,0.00012,0.00042,0.00125,0.00000,0.00062,0.00818
1520530368.752043962478638,0.00414,0.00011,0.00097,0.00090,0.00000,0.00055,0.00668
1520530368.802043914794922,0.00403,0.00011,0.00207,0.00089,0.00000,0.00058,0.00768
1520530368.851373910903931,0.00672,0.00013,0.00147,0.00055,0.00000,0.00058,0.00944
1520530368.901375055313110,0.00519,0.00011,0.00207,0.00033,0.00087,0.00062,0.00920
1520530368.951376438140869,0.00597,0.00011,0.00148,0.00032,0.00392,0.00052,0.01232
1520530369.001378297805786,0.00609,0.00012,0.00042,0.00053,0.00162,0.00054,0.00933
1520530369.051379680633545,0.00451,0.00012,0.00151,0.00051,0.00017,0.00051,0.00734
1520530369.101381540298462,0.00811,0.00011,0.00218,0.00058,0.00077,0.00070,0.01246
1520530369.151382446289062,0.00663,0.00013,0.00164,0.00029,0.00000,0.00053,0.00922
1520530369.201384544372559,0.00531,0.00011,0.00107,0.00021,0.00103,0.00047,0.00820
1520530369.251386880874634,0.00519,0.00011,0.00126,0.00027,0.00199,0.00048,0.00930
1520530369.301522970199585,0.00430,0.00011,0.00024,0.00042,0.00309,0.00057,0.00875
1520530369.351524114608765,0.00378,0.00011,0.00013,0.00061,0.00000,0.00049,0.00512
1520530369.401527643203735,0.00382,0.00011,0.00034,0.00034,0.00099,0.00073,0.00633
1520530369.451531410217285,0.00395,0.00010,0.00008,0.00041,0.00164,0.00045,0.00663
1520530369.501534461975098,0.00409,0.00011,0.00040,0.00071,0.00212,0.00059,0.00802
1520530369.551536083221436,0.00431,0.00012,0.00167,0.00080,0.00077,0.00048,0.00816
1520530369.601536989212036,0.00415,0.00011,0.00069,0.00069,0.00176,0.00050,0.00790
